feature,mean_abs_shap
categorical__diag_1_601,0.0
categorical__diag_1_600,0.0
categorical__diag_1_598,0.0
categorical__diag_1_596,0.0
categorical__diag_1_595,0.0
categorical__diag_1_594,0.0
categorical__diag_1_591,0.0
categorical__diag_1_588,0.0
categorical__diag_1_586,0.0
categorical__diag_1_585,0.0
categorical__diag_1_626,0.0
categorical__diag_1_625,0.0
categorical__diag_1_623,0.0
categorical__diag_1_622,0.0
categorical__diag_1_621,0.0
categorical__diag_1_620,0.0
categorical__diag_1_619,0.0
categorical__diag_1_618,0.0
categorical__diag_1_617,0.0
categorical__diag_1_616,0.0
categorical__diag_1_615,0.0
categorical__diag_1_614,0.0
categorical__diag_1_611,0.0
categorical__diag_1_610,0.0
categorical__diag_1_61,0.0
categorical__diag_1_608,0.0
categorical__diag_1_655,0.0
categorical__diag_1_654,0.0
categorical__diag_1_653,0.0
categorical__diag_1_652,0.0
categorical__diag_1_648,0.0
categorical__diag_1_647,0.0
categorical__diag_1_646,0.0
categorical__diag_1_644,0.0
categorical__diag_1_643,0.0
categorical__diag_1_642,0.0
categorical__diag_1_641,0.0
categorical__diag_1_637,0.0
categorical__diag_1_634,0.0
categorical__diag_1_633,0.0
categorical__diag_1_632,0.0
categorical__diag_1_627,0.0
categorical__diag_1_683,0.0
categorical__diag_1_681,0.0
categorical__diag_1_680,0.0
categorical__diag_1_674,0.0
categorical__diag_1_671,0.0
categorical__diag_1_669,0.0
categorical__diag_1_665,0.0
categorical__diag_1_664,0.0
categorical__diag_1_663,0.0
categorical__diag_1_661,0.0
categorical__diag_1_660,0.0
categorical__diag_1_66,0.0
categorical__diag_1_659,0.0
categorical__diag_1_658,0.0
categorical__diag_1_657,0.0
categorical__diag_1_656,0.0
categorical__diag_1_706,0.0
categorical__diag_1_705,0.0
categorical__diag_1_704,0.0
categorical__diag_1_703,0.0
categorical__diag_1_700,0.0
categorical__diag_1_70,0.0
categorical__diag_1_7,0.0
categorical__diag_1_696,0.0
categorical__diag_1_695,0.0
categorical__diag_1_694,0.0
categorical__diag_1_693,0.0
categorical__diag_1_692,0.0
categorical__diag_1_691,0.0
categorical__diag_1_686,0.0
categorical__diag_1_685,0.0
categorical__diag_1_684,0.0
categorical__diag_1_728,0.0
categorical__diag_1_727,0.0
categorical__diag_1_725,0.0
categorical__diag_1_721,0.0
categorical__diag_1_720,0.0
categorical__diag_1_719,0.0
categorical__diag_1_718,0.0
categorical__diag_1_717,0.0
categorical__diag_1_716,0.0
categorical__diag_1_714,0.0
categorical__diag_1_711,0.0
categorical__diag_1_710,0.0
categorical__diag_1_709,0.0
categorical__diag_1_708,0.0
categorical__diag_1_707,0.0
categorical__diag_1_753,0.0
categorical__diag_1_751,0.0
categorical__diag_1_75,0.0
categorical__diag_1_747,0.0
categorical__diag_1_746,0.0
categorical__diag_1_745,0.0
categorical__diag_1_738,0.0
categorical__diag_1_737,0.0
categorical__diag_1_736,0.0
categorical__diag_1_735,0.0
categorical__diag_1_734,0.0
categorical__diag_1_733,0.0
categorical__diag_1_732,0.0
categorical__diag_1_731,0.0
categorical__diag_1_730,0.0
categorical__diag_1_729,0.0
categorical__diag_1_152,0.0
categorical__diag_1_151,0.0
categorical__diag_1_150,0.0
categorical__diag_1_149,0.0
categorical__diag_1_148,0.0
categorical__diag_1_147,0.0
categorical__diag_1_146,0.0
categorical__diag_1_143,0.0
categorical__diag_1_142,0.0
categorical__diag_1_141,0.0
categorical__diag_1_136,0.0
categorical__diag_1_135,0.0
categorical__diag_1_133,0.0
categorical__diag_1_131,0.0
categorical__diag_1_117,0.0
categorical__diag_1_115,0.0
categorical__diag_1_793,0.0
categorical__diag_1_792,0.0
categorical__diag_1_791,0.0
categorical__diag_1_790,0.0
